Year,Month,Illnesses,Hospitalizations,Deaths
1988,4,58,0.0,0.0
1988,5,1240,1.0,0.0
1988,6,499,12.0,0.0
1988,7,823,20.0,0.0
1988,8,51,3.0,0.0
1988,9,35,1.0,0.0
1988,10,89,7.0,0.0
1988,11,36,2.0,0.0
1988,12,24,0.0,0.0
1989,1,5,0.0,0.0
1989,2,22,0.0,0.0
1989,3,305,0.0,0.0
1989,4,1408,15.0,6.0
1989,5,10,0.0,0.0
1989,6,203,0.0,0.0
1989,7,273,4.0,11.0
1989,8,31,0.0,0.0
1989,9,720,1.0,0.0
1989,10,33,0.0,2.0
1989,12,245,32.0,4.0
1990,1,10,0.0,0.0
1990,2,118,0.0,0.0
1990,3,42,0.0,0.0
1990,4,10,0.0,0.0
1990,5,1131,8.0,0.0
1990,6,166,0.0,0.0
1990,7,486,4.0,0.0
1990,8,283,0.0,0.0
1990,10,33,0.0,0.0
1990,11,3,0.0,0.0
1990,12,63,0.0,0.0
1991,1,11,1.0,0.0
1991,2,31,0.0,0.0
1991,3,87,5.0,0.0
1991,5,392,0.0,0.0
1991,6,2656,2.0,0.0
1991,7,182,11.0,0.0
1991,8,10770,18.0,1.0
1991,9,15,0.0,0.0
1991,10,35,0.0,0.0
1991,12,5,0.0,0.0
1992,1,234,2.0,0.0
1992,2,3028,0.0,0.0
1992,3,171,0.0,0.0
1992,4,153,4.0,0.0
1992,5,643,2.0,1.0
1992,6,892,41.0,2.0
1992,7,231,1.0,0.0
1992,8,206,2.0,0.0
1992,9,47,0.0,0.0
1992,10,20,0.0,0.0
1992,12,6,0.0,0.0
1993,1,34,0.0,0.0
1993,3,403114,0.0,50.0
1993,4,73,4.0,0.0
1993,5,53,0.0,0.0
1993,6,286,0.0,0.0
1993,7,183,0.0,3.0
1993,8,211,1.0,2.0
1993,9,90,1.0,0.0
1993,10,9,0.0,0.0
1993,11,682,15.0,7.0
1993,12,109,17.0,0.0
1994,1,9,0.0,0.0
1994,2,40,0.0,0.0
1994,3,525,1.0,0.0
1994,4,20,0.0,0.0
1994,5,89,0.0,0.0
1994,6,917,8.0,0.0
1994,7,625,19.0,2.0
1994,8,307,1.0,0.0
1994,9,200,0.0,0.0
1994,10,10,0.0,0.0
1994,11,71,0.0,0.0
1995,1,30,0.0,5.0
1995,2,2,0.0,0.0
1995,3,8,3.0,0.0
1995,4,3,0.0,1.0
1995,5,39,1.0,0.0
1995,6,104,10.0,0.0
1995,7,5690,10.0,3.0
1995,8,705,12.0,0.0
1995,9,200,0.0,0.0
1995,10,44,4.0,0.0
1995,11,13,0.0,0.0
1995,12,1462,0.0,0.0
1996,1,29,0.0,0.0
1996,3,6,2.0,0.0
1996,4,11,8.0,0.0
1996,6,312,12.0,0.0
1996,7,282,3.0,0.0
1996,8,3115,16.0,1.0
1996,9,34,0.0,2.0
1996,10,594,0.0,0.0
1996,11,17,0.0,0.0
1997,1,15,0.0,0.0
1997,2,42,0.0,0.0
1997,3,31,0.0,0.0
1997,5,16,5.0,0.0
1997,6,547,6.0,0.0
1997,7,155,2.0,0.0
1997,9,55,1.0,0.0
1997,11,15,1.0,1.0
1997,12,1450,0.0,0.0
1998,1,1441,35.0,0.0
1998,2,1165,23.0,1.0
1998,3,1512,99.0,0.0
1998,4,2462,78.0,0.0
1998,5,2587,75.0,2.0
1998,6,3832,118.0,4.0
1998,7,4492,167.0,0.0
1998,8,4160,75.0,2.0
1998,9,3286,55.0,0.0
1998,10,1827,151.0,22.0
1998,11,2052,60.0,0.0
1998,12,1808,37.0,3.0
1999,1,923,38.0,1.0
1999,2,1263,34.0,1.0
1999,3,1528,18.0,2.0
1999,4,2268,27.0,1.0
1999,5,3080,38.0,0.0
1999,6,2984,97.0,0.0
1999,7,2219,76.0,1.0
1999,8,3309,136.0,3.0
1999,9,2167,94.0,1.0
1999,10,2843,50.0,0.0
1999,11,1771,42.0,0.0
1999,12,2316,47.0,2.0
2000,1,822,14.0,0.0
2000,2,2794,32.0,2.0
2000,3,2682,31.0,0.0
2000,4,1879,61.0,1.0
2000,5,2533,112.0,10.0
2000,6,2960,66.0,1.0
2000,7,3265,90.0,3.0
2000,8,2054,118.0,0.0
2000,9,1777,37.0,2.0
2000,10,2076,49.0,2.0
2000,11,2695,96.0,1.0
2000,12,2695,28.0,6.0
2001,1,3193,49.0,1.0
2001,2,1520,57.0,2.0
2001,3,2497,44.0,3.0
2001,4,1944,102.0,3.0
2001,5,4080,56.0,0.0
2001,6,2423,68.0,0.0
2001,7,2492,80.0,0.0
2001,8,1462,56.0,0.0
2001,9,1263,97.0,0.0
2001,10,1550,20.0,0.0
2001,11,2341,42.0,6.0
2001,12,2299,61.0,0.0
2002,1,1376,64.0,0.0
2002,2,1407,70.0,1.0
2002,3,2406,26.0,1.0
2002,4,3018,84.0,0.0
2002,5,1636,30.0,0.0
2002,6,2589,131.0,4.0
2002,7,2926,118.0,10.0
2002,8,1773,67.0,0.0
2002,9,2349,50.0,0.0
2002,10,1986,65.0,3.0
2002,11,3137,52.0,0.0
2002,12,2617,35.0,0.0
2003,1,2502,30.0,10.0
2003,2,1686,46.0,2.0
2003,3,1832,77.0,1.0
2003,4,1716,64.0,0.0
2003,5,2647,50.0,2.0
2003,6,2830,54.0,1.0
2003,7,2674,40.0,0.0
2003,8,2657,67.0,3.0
2003,9,1273,66.0,1.0
2003,10,1812,136.0,3.0
2003,11,2490,78.0,1.0
2003,12,1128,13.0,0.0
2004,1,3229,40.0,2.0
2004,2,3284,60.0,8.0
2004,3,3105,53.0,0.0
2004,4,2044,56.0,1.0
2004,5,1539,42.0,0.0
2004,6,3279,113.0,1.0
2004,7,3485,198.0,4.0
2004,8,2091,45.0,3.0
2004,9,1636,70.0,3.0
2004,10,1688,59.0,3.0
2004,11,2670,70.0,3.0
2004,12,4334,67.0,2.0
2005,1,1408,20.0,0.0
2005,2,1187,32.0,0.0
2005,3,2164,27.0,0.0
2005,4,2726,77.0,1.0
2005,5,3250,127.0,2.0
2005,6,3902,96.0,1.0
2005,7,1847,101.0,6.0
2005,8,1765,58.0,1.0
2005,9,1227,41.0,2.0
2005,10,1255,37.0,0.0
2005,11,1430,36.0,1.0
2005,12,1527,44.0,2.0
2006,1,2484,88.0,2.0
2006,2,1702,19.0,1.0
2006,3,2023,91.0,0.0
2006,4,3791,70.0,3.0
2006,5,4421,92.0,0.0
2006,6,2287,88.0,0.0
2006,7,2003,108.0,1.0
2006,8,2768,333.0,9.0
2006,9,1224,74.0,2.0
2006,10,1553,53.0,0.0
2006,11,3047,192.0,0.0
2006,12,2885,51.0,0.0
2007,1,3651,72.0,1.0
2007,2,2523,165.0,5.0
2007,3,1261,70.0,1.0
2007,4,1833,63.0,1.0
2007,5,7858,68.0,1.0
2007,6,3482,150.0,4.0
2007,7,4657,102.0,1.0
2007,8,2083,76.0,2.0
2007,9,3019,58.0,1.0
2007,10,1325,58.0,3.0
2007,11,1566,51.0,1.0
2007,12,1599,47.0,0.0
2008,1,1319,26.0,0.0
2008,2,1180,42.0,0.0
2008,3,3418,84.0,3.0
2008,4,4424,354.0,2.0
2008,5,1503,77.0,0.0
2008,6,3798,98.0,1.0
2008,7,2288,68.0,3.0
2008,8,2655,174.0,5.0
2008,9,1650,199.0,10.0
2008,10,2370,74.0,0.0
2008,11,1290,43.0,0.0
2008,12,1827,43.0,2.0
2009,1,19295,303.0,22.0
2009,2,11566,164.0,11.0
2009,3,8071,171.0,9.0
2009,4,4056,138.0,4.0
2009,5,2286,67.0,2.0
2009,6,2329,104.0,0.0
2009,7,2380,125.0,2.0
2009,8,1387,101.0,3.0
2009,9,1397,68.0,3.0
2009,10,1668,32.0,2.0
2009,11,3160,53.0,0.0
2009,12,5987,110.0,7.0
2010,1,12166,176.0,23.0
2010,2,17104,250.0,14.0
2010,3,9896,183.0,19.0
2010,4,7470,218.0,3.0
2010,5,4273,88.0,8.0
2010,6,2573,146.0,9.0
2010,7,2812,149.0,0.0
2010,8,2459,130.0,3.0
2010,9,2191,53.0,1.0
2010,10,3564,63.0,2.0
2010,11,7800,174.0,13.0
2010,12,19735,266.0,43.0
2011,1,22160,368.0,26.0
2011,2,15615,291.0,19.0
2011,3,9802,219.0,13.0
2011,4,5497,137.0,6.0
2011,5,2942,177.0,1.0
2011,6,2718,140.0,4.0
2011,7,2783,288.0,40.0
2011,8,2092,117.0,5.0
2011,9,2602,176.0,11.0
2011,10,3802,158.0,3.0
2011,11,7081,111.0,18.0
2011,12,16359,281.0,25.0
2012,1,26786,471.0,24.0
2012,2,26689,519.0,29.0
2012,3,12774,223.0,23.0
2012,4,5923,135.0,8.0
2012,5,4260,110.0,2.0
2012,6,3311,156.0,1.0
2012,7,3214,253.0,7.0
2012,8,2442,91.0,0.0
2012,9,2593,101.0,1.0
2012,10,5838,163.0,8.0
2012,11,10291,151.0,20.0
2012,12,16202,266.0,23.0
2013,1,18144,363.0,21.0
2013,2,19187,306.0,30.0
2013,3,18951,734.0,26.0
